A	განუსაზღვრელი არტიკლი,
winner	გამარჯვებული, მძლეველი, მომგები
winning	მიმზიდველი, სანდომიანი
winnow	მარცვლეულის განიავება
winter	ზამთარი; ზამთრის
wintry	ზამთრის (ცივი)
wipe	გაწმენდა, გაშლა
wire	მავტული; დეპეშა, ტელეგრამა; დეპეშის გაგზავნა
wireless	რადიო
Wisconsin	ვისკონსინი (შტატი)
wisdom	სიბრძნე
wise	ბრძენი, მცოდნე
wish	სურვილი, ნდომა
wistful	ჩაფიქრებული, დაფიქრებული
wit	ჭკუა, გონებამახვილობა, მახვილგონიერება
witch	ჯადოსანი, კუდიანი
witchcraft	მოჯადოება
with	-თან, -ით, -თ, ერთად
withdraw(withdrew	withdrawn)     უკან გაწევა, უკან დახევა
wither	ჭკნობა, ხმობა
withhold(withheld,	withheld)     დაკავება, შეკავება, დაჭერა
within	ვადაში, განმავლობაში; -ში
